person	response
당뇨로 고생 중인데 아내가 이혼하자더군. 아내가 날 버리면 병은 더 악화될 텐데 세상에 나 혼자 남은 기분이야.	몸이 아픈데 아내가 이혼하자고 하니 혼자 있는 것 같은 기분을 느끼셨군요.
노년에 재정적으로 이루어 놓은게 없어서 걱정이야.	나이들어 재정적으로 어려워서 걱정되시는군요.
요즘 코로나 때문에 김 할아버지를 만나러 가지 못하고 있어.	그렇군요. 많이 슬프시겠어요.
아내가 검사를 받고 싶다고 했는데 약국에서 약만 사주다가 결국 큰 병으로 만들고 말았어.	아내에게 큰 병이 생겨 마음이 괴로우시겠어요.
건강때문에 너무 괴로워.	건강이 안 좋으세요?
나는 내 자식들을 누구보다 아끼고 사랑해.	자식을 소중하게 여기고 아끼는 군요.
내가 폐암 이라니.	무슨 일 있으신가요?
노망난 남편이 또 귀찮게 굴까 봐 오늘 어쩔 수 없이 밥을 차려주었어.	남편에게 화가 나신 것 같아요.
은퇴하고 만성질환으로 고생하고 있어.	고생을 많이 하셨나요.
요즘 자다가 죽기만을 바라며 잠이 들어.	자다가 죽기만을 바라며 잠에 드시다니. 힘드시고 슬프시겠어요.
남편이 병원비 걱정 안 하게 해 줘서 얼마나 고마운지 몰라.	병원비 걱정 안 하게 남편분이 경제적으로 도와주시는군요?
내 동생이 크게 사기당해서 모은돈을 다 잃게 생겼어.	너무 슬프실것 같아요.
자식들이 늙은 나를 미워하기라도 할까 봐 걱정이야.	걱정이 많이 되시는군요.
나 외로워.	제가 친구가 되어드릴게요.
대인관계에만 목을 매는 내가 너무 한심해. 몸도 안좋은데 나한테만 신경써야지.	자기 자신이 제일 소중한 법이니까요. 좋은 생각이네요.
체질량 지수가 이렇게까지 개선되다니 놀랍네?	개선되는데 있어서 어떤 노력을 하셨나요?
하필 왜 그날 가족 사진을 찍기로 한 건지 다들 정말 생각이 없어.	무슨 일인지 조금 더 자세히 말씀해 주실 수 있을까요?
친구가 하는 말이 진짜인지 아닌지 모르겠어.	친구와의 소통 과정에서 고민을 하고 계시는군요. 힘드시겠어요.
나는 세상이 어둡고 희망이 없는 거 같아.	그렇게 생각하시는 이유가 있으신가요?
돈을 보니 고립되는 기분이야.	그렇게 생각하시는 이유가 있나요?
녹내장 이후 시력이 안좋아졌어.진짜 열받는건 실직해서 돈도 없다는거지.	많이 힘드시겠어요. 그럼 경제적인걸 어디서 충당하시나요?
나이 먹고 돈 없으니까 만나주는 사람도 없고 외롭네.	기분이 안 좋으시겠어요. 조금만 더 자세히 말씀해주시겠어요?
나이 먹고 돈도 없고 몸도 아프니 맨날 병원만 다니느라 친구들 본지도 오래야.	마음이 많이 안좋으시겠어요.
남편이 죽으면서 내게 남긴 사망보험금인지 모르고 친구들이 부럽다고 해.	남편 분의 사망보험금인걸 모르는 친구들이 부러워해서 마음이 안 좋으시군요.
경로당을 갔는데 누가 반겨주지도 않아. 참 무안하고 상처가 되는 것 같아.	누가 반겨주지도 않고 상처 받으셨겠어요.
내가 병에 걸리니까 아내가 나를 두고 집을 나갔어. 옆에 아무도 없고 혼자 살기 두려워.	몸도 안 좋은데 아내마저 떠나서 많이 슬프시군요.
후배한테 잘해주지 못해 후회가 돼.	후배한테 잘하지 못하셨나요?
내가 도와주지 않으면 딸이 어려워지는 것을 알고 있으면서도 모르는 척 할수밖에 없었어.	그렇군요. 딸을 도와드리고 싶나요?
집에만 있으니 대인관계가 단절된 거 같고 너무 답답하다.	외출을 못 해서 힘드시다는 말씀이네요.
만성질환으로 고생하는 내게 사람들이 후원금을 주었어.	도와주는 사람이있군요.
몸이 너무 아픈데 병원비가 없어 치료를 못 받고 있어 당황스럽고 슬퍼.	병원비가 없어 치료를 받지 못해 슬프셨군요. 좀 더 자세히 말씀해주시겠어요?
다행이야. 내 병이 노인혜택을 받을 수 있는 질병이래.	노인 혜택을 받을 수 있어서 기분이 좋으시군요.
주식 투자를 잘못한 게 후회 돼.	속상하겠네요. 어떻게 하면 기분이 나아질 수 있을까요?
건강에 환멸나.	왜 그러세요?
내 나이 또래들에 비해 생각보다 가난한 것 같아 열등감이 느껴져.	또래에 비해 가난한 것 같아 열등감을 느끼시는군요.
얼마 전에 밤에 모르는 아저씨가 우리 집 벨을 누르더라고.	경찰에 신고 했어요?아니면 관리 사무소로도 전화해 보지요.
남은 인생을 위해 사업을 구상 중이었는데 나를 돕고 싶다는 사람이 나타났어.	조금 더 자세히 말씀해주시겠어요?
재정상태를 신뢰해.	왜 그러시죠?
내 건강을 믿어.	불편한데가 없으세요?
아픈데도 없는데 나이가 드니 죽음에 대한 공포에 당혹스러워.	누구나 겪는 과정이예요. 힘내세요.
점점 이 세상에서 내가 고립되는거 같아.	무슨 일 있으셨나요?
왜 건강을 챙기는데도 힘들까.	건강이 많이 안 좋으세요?
요즘은 하루가 너무 긴 것 같아. 갈데도 없고 연락오는 데도 없고 내가 인생을 잘못 산것같아.	연락오는 데가 없어서 우울하신가 보군요.
요새 사람 만나기가 싫어.	어떤 이유인지 물어봐도 될까요?
알아주지도 않는데 괜히 모임에서 회장직을 맡아 귀찮은 일만 도맡아했어.	그러시군요. 힘드시겠어요.
친구가 꽃무릇을 보러 가자고 해놓고 오늘 다른 친구들과 다녀와서 동영상을 보여주는 거야.	친구에게 서운하겠어요.
항상 쫒기듯 살아왔는데 이젠 조금 느긋해지는군.	많이 여유로워 보이세요.
나이가 있는데 돈은 없으니 너무 초조하네.	나이에 비해 불안한 재정상태 때문에 초조하시군요.
노후 준비를 제대로 안 한 탓에 전세방 하나 못 구하고 있으니 눈물이 난다.	참 슬프겠어요. 전세방 구할 돈이 부족한 거군요.
나이가 육십이 되니 친구들도 더 줄어드는거 같아 우울해.	기분탓인가요. 정말 그렇게 생각하시나요?
인생은 육십부터라고 하니 앞으로 여생은 더 즐기면서 살아야겠어.	요즘은 백세시대인데 아직도 사십 년이나 남은걸요?
다음달 병원비가 진짜 많이 나왔어 .	그렇군요 어떤 기분이 드세요? .
어렸을 때 앓아온 소아비만이 늙어서도 이렇게 날 힘들게 할 줄은 몰랐어.	소아 비만 때문에 많이 힘드셨겠네요.
없는 것도 서러운데. 나쁜놈들.	무슨 일이세요? 걱정이 있으신가요?
이게 말이 돼?	무슨 일 있으세요?
이 나이에 로또에 당첨될 줄 꿈에도 상상 못했어!	축하드려요. 행운은 아무에게나 주어지는 건 아니예요. 열심히 살아온 보상인 것 같아요.
나는 왜 이렇게 몸이 아플까?	몸이 아프시군요. 어디가 안 좋으세요?
돈만 열심히 버느라 벌써 내 나이가 이렇게 되는 줄도 몰랐다니 믿기지 않아.	젊은 시절 경제적으로 풍족하기 위해 정말 열심히 사셨나 봐요.
내 병이 불치병이라 치료할 수 없대. 전 재산을 걸어도 좋으니 난 더 살고 싶어.	고치기 힘든 병을 앓고 계셔 힘드시군요.
딸이 결혼을 해야 하는데 큰일이야.	무슨 일이 생긴 건가요?
은퇴 후에 일자리를 구하지 못해서 가족한테 미안하기도 하고 면목이 없어.	일자리를 구하지 못해서 마음이 많이 무거우셨겠군요.
고령에 고혈압까지 있는데 노후준비가 안 되있으니 마음이 외로워.	걱정 되시겠어요.
주변사람들이 날 안좋은 시선으로 보는 것 같아.	주변사람들이 안좋게 본다 생각하시는군요. 왜 그렇게 생각하시나요?
동네 미옥이라는 할머니가 자식이 사준 금반지로 나를 몹시 약 올렸어.	자식 자랑에 물건 자랑까지 당하셔서 질투 나셨겠어요.
전날 술을 많이 먹고 속이 안 좋아서 온종일 굶었는데도 배가 고프지 않은 게 무언가 이상해.	온종일 굶었는데도 배가 안 고프시다니 괜찮으신 건가요?
나이가 들고 병이 있다보니 건강 및 죽음이 점점 다가오니 불안한 감정이 다가가와.	아 그렇군요 지금 감정이 불안하군요 그럼 어떻게 극복 하실 생각 이세요?
난 고립된 느낌이야.	왜 그러시죠?
나이가 들어서도 대인관계는 여전히 어려운 거 같아.	대인관계에 무슨 어려움이 있으세요?
우리가 매일 함께하던 경로당이 화재로 인해 문을 닫았어.너무 슬프다.	이런.괜찮으신가요?
자식들이 주는 용돈만으로 생활이 전혀 안 돼 너무 슬퍼.	용돈으로 생활하기에 어려워 슬프시군요.
오늘 동창회에 오랜만에 가서 친구들을 만나서 기뻐.	그렇군요. 동창회에 갔나봐요.
와이프 때문에 고민이 많아.	무슨 고민이세요?
그 할머니께 연락이 안오네.	어떤 할머니인가요?
더 이상 갚을 돈이 없다는 사실에 너무 기뻐.	더 이상 갚은 돈이 없다니 정말 기쁘시겠어요.
이제는 기력이 딸려 아무도 만나고 싶지가 않아	몸도 마음도 많이 힘드신 상태시군요
남편만 보면 화가 나.	남편분과 싸우셨나 봐요.
이 나이가 돼 보니 알겠어.	어떤 걸 느끼셨나요?
이제 친구관계가 편해.	원래 안 좋았나요?
내 당뇨 합병증 치료 때문에 아들이 대출을 받았어.	아들에게 미안하시겠어요.
돈이 없으니 사는게 너무 힘들다.	재정적으로 힘드신 상황이신가봐요.
치매에 걸렸다고 하니 나를 요양원에 보내겠다고 해.	요양원 생활에 적응 못 하실 꺼에요.
나이가 좀 있지만 아직은 건강해서 죽음에 대해서 크게 와닿지 않아.	죽음에 대해 느긋하게 생각하고 계시는군요.
퇴직금으로 주식을 조금 샀는데 갑자기 그 회사에 대한 악의적인 보도가 나오면서 주가폭락이 되버렸어.	악의적인 보도는 확실한가요?
건강에 방어적이게 돼.	무슨 이유인가요?
내가 친구보다 혈압이 높다니 참 이해가 안 돼.	많이 툴툴 대시네요.
자식들과 크게 다투고 큰 상처를 받았어.	어떤 일인지 자세히 말씀해주시겠어요?
돈이 왜 필요한지 염세적인 느낌이야.	무슨 일이 있으세요?
몇 년째 찾아오지 않는 자식들에게 일부러 나도 연락을 안 했어.	자식분들이 몇년째 찾아오지 않아서 화나시겠네요.
금지옥엽으로 키운 아들이 내 돈만 믿고 사업을 벌이고 있어. 너무 화나.	무엇이 화남을 느끼도록 만들었나요?
공기 좋은 곳에서 요양하려고 사 놓았던 땅 값이 많이 올라서 정말 다행이야.	공기 좋은 곳에서 요양하려고 사 놓았던 땅 값이 많이 올라서 정말 다행이에요.
자식들은 재산을 차지하고 싶어서 내가 빨리 죽길 바랄 거야.	자식들의 재산 욕심으로 인해 매우 속상하시겠어요.
가끔 경제적으로 여유로운 친구들이 부럽다는 생각을 자주해.	경제적으로 여유로운 친구들을 보며 부러움을 느끼시는군요.
은퇴하고 친구들과 자주 골프를 치고 있어.	친구 분들과 운동을 자주 하시는군요.
오늘 하지 정맥때문에 병원에 다녀왔어.	그랬군요. 고생하셨어요.
이제 단 음식은 피해야겠어.	왜 단 음식을 꺼리시나요?
다시 건강해질 수 있겠지?	어디가 안 좋으신가요?
지금의 가난에서 벗어나는 길은 죽음뿐이야.	죽음 외에는 생각이 나지 않아 속상하시겠어요.
얼마 전에 정년퇴직을 했어.	아 정년퇴직을 하셨군요.
나는 가족 먹이겠다고 돈만 벌어오는데 아내는 그 돈으로 동네 아줌마들과 도박을 한다네.	가족을 생각하시는 마음을 아내분이 몰라주는 거 같아 실망이 크시겠어요.
친구 앞에서 망신을 당했어.	많이 당황스럽고 부끄러우셨겠어요.
십 년 전만해도 기부를 했는데 이제는 내가 기부를 받고 있는 처지가 되었으니 허망하고 속상하네.	현재 기부를 받고 있는 것이 속상하셨군요.
여윳돈만 있으면 임플란트도 하고 이곳저곳 다니면서 마음껏 놀아보고 싶은데 그렇지 못해 좀 외로워.	치료를 해서 친구들과 여기저기 맛집도 다니고 멋진 여행도 다니고 싶은가 보네요.
버는 곳은 없고 쓰는 곳만 많다고 하니 마음에 상처만 늘어나.	상처를 받으셨군요. 저축하고 계신가요?
아내가 열사병으로 쓰러졌는데 근처 병원 문이 다 닫았어. 짜증 나!	아내 때문에 걱정되시겠어요.
건강검진 결과에서 아무이상 없다고 했는데 병원에서 더 검사해보자고 연락이 왔어. 건강에 문제가 있나 불안해졌어.	결과에는 이상 없다고 했는데 다시 연락이 와서 불안하셨군요.
요즘 아들이 내 연락을 피하는 느낌이야. 도움을 요청한 곳이 아들밖에 없는데 이젠 어쩌지.	막막한 심정이군요. 도움을 요청할 수 있는 다른 방법은 없나요?
동창회에서 등산 모임을 만들었데.	등산 모임에 참여하실 건가요?
친구가 어제 죽었어 너무 슬퍼.	상심이 크시겠어요.
요즘 재정적으로 너무 힘이 들어.	어떤 일 때문에 재정 상황이 안 좋으신 건가요?
아들이 나에게 간이식 수술을 해주겠대. 나는 지금 매우 기뻐.	기분이 좋으시군요. 자세한 상황을 말씀해 주시겠어요?
외손주 위해 봐야 아무 소용없다더니. 앞으로 잘 지내긴 틀렸네.	외손주와 무슨 일이라도 있으신가요?
요즘 나는 눈물이 나는 한 해를 보내고 있어.	무슨 일로 눈물이 난다고 느끼시나요?
친구에게 돈을 빌려줬는데 갚질 않아.	돈을 갚지 않아 속상하시겠어요.
요즘 병원비가 많이들어서 걱정이네.	병원비가 많이 들어서 걱정 이신가 보네요. 보험은 안 드셨나요.
안정적으로 사업을 자식들에게 물려줘서 큰 걱정이 없어.	반가운 소식이네요. 안정적이라니 좋으시겠어요!
친구가 없어서 너무 외로워.	주변에 친구를 사귈수 있을만한 곳이 없나요?
